feature,importance
spatial_lag_delta,184015348.1048708
heavy_vehicle_ratio,17139259.845968008
zone_archetype_code,14067089.145071387
spatial_lag_pcu,13454903.783395886
three_wheeler_ratio,8151317.180329442
distance_to_cbd,5847080.898835897
hour_sin,4126488.1119151115
weekend_surge_ratio,3975588.9502646923
hour_cos,3101215.7025209665
lat_mean,2802545.1236406565
lon_mean,2675101.373377323
avg_offence_count,1803277.2390207052
validation_ratio,1084063.1048307419
avg_violation_count,860417.8092842102
two_wheeler_ratio,698862.876039505
day_cos,674999.349845171
junction_ratio,604950.0083192587
day_sin,306718.70691907406
is_weekend,132848.92076086998
persistence_score,0.0
